1 130
1 183
1 165
1 2
1 175
1 274
1 132
1 169
1 149
1 247
1 151
1 211
1 257
1 52
1 77
1 9
1 173
1 278
1 153
1 84
1 49
1 178
1 208
2 189 216
1 293
2 123 0
2 46 168
2 94 221
2 69 36
2 135 167
2 270 34
2 194 116
2 1 234
2 240 179
2 37 65
2 143 33
2 272 180
2 229 108
2 233 296
2 97 54
2 186 275
2 279 87
2 231 99
2 47 41
2 262 184
2 251 212
2 206 164
2 256 85
2 126 249
2 120 88
2 30 75
2 297 103
2 288 110
2 17 134
2 215 72
2 100 294
2 252 8
2 66 246
2 228 7
2 154 80
2 280 203
2 176 259
2 43 4
2 71 148
2 142 162
2 192 62
2 145 210
2 104 299
2 67 24
2 182 276
2 59 286
2 141 159
2 155 127
2 55 220
2 152 133
2 115 290
2 289 13
2 12 161
2 51 15
2 106 260
2 264 193
2 78 137
2 292 58
2 250 225
2 242 136
2 266 218
2 31 144
2 223 227
2 196 95
2 265 92
2 238 171
2 255 263
2 20 187
2 199 261
2 35 38
2 219 56
2 181 18
2 112 105
2 291 267
2 45 57
